id	dam	sire
G001	NA	NA
G002	NA	NA
G003	NA	NA
G004	NA	NA
G005	NA	NA
G006	NA	NA
G007	NA	NA
G008	NA	NA
G009	NA	NA
G010	NA	NA
G011	NA	NA
G012	NA	NA
G013	NA	NA
G014	NA	NA
G015	NA	NA
G016	NA	NA
G017	NA	NA
G018	NA	NA
G019	NA	NA
G020	NA	NA
G021	G009	G004
G022	G009	G004
G023	G009	G005
G024	G018	G017
G025	G009	G005
G026	G009	G005
G027	G011	G019
G028	G010	G001
G029	G007	G006
G030	G018	G020
G031	G018	G017
G032	G011	G006
G033	G010	G001
G034	G013	G012
G035	G007	G006
G036	G013	G003
G037	G014	G006
G038	G011	G019
G039	G018	G017
G040	G007	G012
G041	G007	G002
G042	G013	G012
G043	G009	G004
G044	G010	G020
G045	G014	G006
G046	G018	G020
G047	G015	G003
G048	G010	G020
G049	G007	G006
G050	G014	G002
G051	G009	G005
G052	G009	G004
G053	G011	G005
G054	G015	G008
G055	G010	G001
G056	G016	G019
G057	G009	G004
G058	G009	G004
G059	G015	G008
G060	G007	G002
G061	G007	G002
G062	G007	G002
G063	G007	G006
G064	G016	G019
G065	G010	G001
G066	G015	G008
G067	G011	G005
G068	G015	G003
G069	G013	G012
G070	G016	G019
G071	G014	G006
G072	G015	G003
G073	G014	G006
G074	G010	G017
G075	G013	G008
G076	G007	G012
G077	G015	G008
G078	G015	G003
G079	G014	G002
G080	G013	G008
G081	G009	G004
G082	G014	G002
G083	G010	G017
G084	G011	G019
G085	G014	G002
G086	G014	G002
G087	G014	G006
G088	G010	G001
G089	G010	G017
G090	G016	G019
G091	G011	G006
G092	G016	G019
G093	G014	G002
G094	G009	G004
G095	G007	G006
G096	G018	G020
G097	G007	G002
G098	G007	G012
G099	G013	G003
G100	G014	G006
