"Genotype" "Trial" "Yield"
"1" "G001" "TR01" 63.3509473023492
"2" "G002" "TR01" 45.2509038161548
"3" "G003" "TR01" 39.4832096274996
"4" "G004" "TR01" 28.9540882740597
"5" "G005" "TR01" 39.7030979401543
"6" "G006" "TR01" 31.2825765621961
"7" "G007" "TR01" 28.5013685903348
"8" "G008" "TR01" 50.650488773044
"9" "G009" "TR01" 49.779881967823
"10" "G010" "TR01" 43.5322167960356
"11" "G011" "TR01" 37.4582190638841
"12" "G012" "TR01" 47.2537296635326
"13" "G013" "TR01" 36.2516837095825
"14" "G014" "TR01" 40.7805002197824
"15" "G015" "TR01" 42.7557828030103
"16" "G016" "TR01" 29.9355946885562
"17" "G017" "TR01" 39.5755147668813
"18" "G018" "TR01" 38.4019311798817
"19" "G019" "TR01" 55.9277415312838
"20" "G020" "TR01" 37.7196420121614
"21" "G021" "TR01" 35.0774760800714
"22" "G022" "TR01" 33.1168013516996
"23" "G023" "TR01" 32.3018573438038
"24" "G024" "TR01" 42.9717986181112
"25" "G025" "TR01" 46.4817991689945
"26" "G026" "TR01" 40.3112629259766
"27" "G027" "TR01" 47.9986626131513
"28" "G028" "TR01" 45.6312503167266
"29" "G029" "TR01" 44.8962947449238
"30" "G030" "TR01" 37.6320347676033
"31" "G031" "TR01" 40.1092756540346
"32" "G032" "TR01" 41.5163622675845
"33" "G033" "TR01" 40.9807508981066
"34" "G034" "TR01" 41.7721328423221
"35" "G035" "TR01" 45.2322548819655
"36" "G036" "TR01" 45.5867696023381
"37" "G037" "TR01" 45.369092176708
"38" "G038" "TR01" 33.9239796877798
"39" "G039" "TR01" 33.4658933719387
"40" "G040" "TR01" 31.3208794289107
"41" "G041" "TR01" 56.6345440498217
"42" "G042" "TR01" 56.6133451964375
"43" "G043" "TR01" 45.6592308674409
"44" "G044" "TR01" 45.5689554863236
"45" "G045" "TR01" 47.5585831863808
"46" "G046" "TR01" 26.0297618517333
"47" "G047" "TR01" 36.3299339438629
"48" "G048" "TR01" 38.0750608372026
"49" "G049" "TR01" 31.8555609416881
"50" "G050" "TR01" 59.9072841041269
"51" "G051" "TR01" 55.8487709095316
"52" "G052" "TR01" 37.9281994294643
"53" "G053" "TR01" 27.9002278470064
"54" "G054" "TR01" 51.4210696119939
"55" "G055" "TR01" 46.9896026442738
"56" "G056" "TR01" 32.1309686980255
